ts	phase	decision	why	evidence	result
2026-09-21T19:25:25Z	frame	Measure the test-studio tab cliff in one Chromium context, then commit a test of that stall, then two reviewed design notes	The Slack report says latest Studio stops loading around 8 tabs with Sanity requests stuck Pending. A cross-tab share is a one-way design, so the run measures first and does not ship an architecture.	slack thread 1789565690.009079 reply 1790017647.038539	open
2026-09-21T19:34:16Z	measure	Ten structure tabs stayed up. Each held 5 listen streams and a ping still returned in under 10ms.	The API allows 100 HTTP/2 streams, so 5 streams per tab predicts a stall near 20 tabs, not 8. Bundled dev crashed this VM, so the run used classic Vite.	/opt/cursor/artifacts/tab-ceiling-structure-10.json	no cliff at 10
2026-09-21T19:55:26Z	measure	Sixteen structure tabs stayed up. Tab 16 held 5 HTTP/2 listens and a ping returned 200 in 12ms. The run stopped while opening tab 17 because Chrome RSS was about 10GB.	floor(100/5) predicts a stall near 20 structure tabs. Memory stopped the run before the API cap.	/opt/cursor/artifacts/tab-ceiling-structure-24.json	no cliff at 16
2026-09-21T19:55:26Z	measure	Replaying listen fetches without reading the body stalled the next listen once 98 extra 200 responses were held. The ping at 95 held returned 200 in 655ms.	204 listen responses complete. 200 responses hold the stream. The probe saw one HTTP/2 connection.	/opt/cursor/artifacts/stream-ceiling-report.json	stall at 98 extra
2026-09-21T19:55:26Z	test	The hermetic script queued the next fetch at 6 HTTP/1.1 connections and at HTTP/2 cap 100, then recovered after one EventSource close.	This is the Pending mechanism. The script does not start Studio and does not need a token.	pnpm --filter e2e test:connection-ceiling	pass, http/1.1 cap 6, http/2 cap 100, 8s
2026-09-21T19:55:26Z	revert	unstable_bundledDev stays true. A local false flip let classic Vite load on this VM and was not committed.	Bundled dev threw requestLazy is not a function during page load. That crash is separate from the tab stall.	dev/test-studio/sanity.cli.ts	reverted
2026-09-21T20:00:27Z	scope	Drop HTTP/1.1 from the ceiling script and from the cross-tab note.	Studio requires HTTP/2 and is not expected to run on HTTP/1.1. The script now checks only the HTTP/2 stream cap.	e2e/connection-ceiling/connection-ceiling.ts	http/1.1 removed
2026-09-21T20:00:27Z	review	The structure-home addon listen is likely tasks, not per-document comments.	It was open with no document pane. useTasksStore listens for tasks.task on the addon dataset, and the default test workspace enables tasks. Document comments stay local.	.audit/mitigations-cross-tab.md	corrected before commit
2026-09-21T20:00:41Z	test	The HTTP/2-only script queued the next fetch at cap 100 and recovered after one EventSource close.	Studio requires HTTP/2, so the script no longer opens an HTTP/1.1 server.	pnpm --filter e2e test:connection-ceiling	pass, http/2 cap 100, 4s
2026-09-21T20:04:15Z	review	Short-term ranking kept. Hidden-tab pause is first. Idle tasks and agent listens are second and move structure home from 5 streams to 3, and the stall from 20 tabs to 33.	Call sites match the five structure-home listens. The type-list count of 6 was not a clean recapture, so the note no longer states it as measured. HTTP/1.1 stays out of the fix.	.audit/mitigations-short-term.md	corrected before commit
